rank,tier,cliff,player,team,role,nationality,expected_batting_pos,expected_overs_bowled,matches_2025,total_pts_2025,avg_pts_2025,median_pts_2025,floor_p10_2025,ceiling_p90_2025,avg_batting_pts_2025,avg_bowling_pts_2025,concept_bat_pts,concept_bowl_pts,concept_total,player_fe_2025,blended_pts_per_match,pred_season_total,expected_games,prob_starting,prob_all_14,is_returning,notes
189,7,False,Yash Dayal,RCB,Bowler,Indian,11,4,15,591.0,39.4,41.0,6.6,84.6,0.3,35.1,24.2,46.1,78.2,28.1,48.1,144.0,3.0,0.0,0.0,True,Banned from RCB camp; personal reasons; will NOT play IPL 2026 per RCB Director Mo Bobat
190,7,False,Mayank Rawat,MI,WK-Batter,Indian,7,0,0,,,,,,,,39.6,0.0,47.6,,47.6,143.0,3.0,3.0,5.0,False,Indian WK-batter. Deep reserve.
191,7,False,Danish Malewar,MI,Batter,Indian,6,0,0,,,,,,,,39.6,0.0,47.6,,47.6,143.0,3.0,3.0,5.0,False,Indian batter. Deep reserve.
192,7,False,Robin Minz,MI,WK-Batter,Indian,7,0,0,,,,,,,,39.6,0.0,47.6,,47.6,143.0,3.0,5.0,10.0,False,Young Indian WK from Jharkhand. Backup keeper behind de Kock. Very unlikely to play.
193,7,False,Rachin Ravindra,KKR,All-rounder,Overseas,3,3,8,369.0,46.1,39.5,7.7,89.8,38.6,0.0,67.9,28.4,104.2,8.6,46.9,141.0,3.0,15.0,30.0,True,Overseas; NZ left-hand bat + left-arm orthodox; R Ashwin excluded him from predicted XI; competes for overseas slot; impact sub candidate
194,7,False,Abishek Porel,DC,WK-Batter,Indian,3,0,13,639.0,49.2,62.0,15.2,81.8,39.9,0.0,67.9,0.0,75.9,17.3,40.7,138.0,3.4,35.0,40.0,True,Left-hand WK-bat; could open or bat 3 if DC want KL Rahul lower; young talent; backup keeper option
195,7,False,Raj Bawa,MI,All-rounder,Indian,8,3,5,58.0,11.6,12.0,10.8,12.0,1.6,0.0,22.0,36.9,66.9,31.5,45.7,137.0,3.0,10.0,15.0,True,Young Indian allrounder. U19 World Cup hero. Blocked by star-studded middle order. Likely benched most games.
196,7,False,Dushmantha Chameera,DC,Bowler,Overseas,11,4,6,164.0,27.3,37.5,2.5,42.0,1.7,24.0,24.2,46.1,78.2,23.4,45.4,136.0,3.0,15.0,25.0,True,Overseas; Sri Lankan right-arm fast; backup overseas pacer; only plays if both Starc and Ngidi unavailable
197,7,False,Zeeshan Ansari,SRH,Bowler,Indian,10,4,10,294.0,29.4,19.0,5.4,54.1,0.0,24.0,22.0,42.0,72.0,11.3,35.6,135.0,3.8,40.0,35.0,True,Young left-arm orthodox spinner; uncapped; competes with Harsh Dubey for spinner slot; may play on turning tracks
198,7,False,Aman Khan,CSK,Batter,Indian,6,0,9,338.0,37.6,39.0,30.2,47.2,4.6,25.4,35.7,0.0,43.7,39.8,41.3,124.0,3.0,5.0,10.0,True,Indian batter. Deep reserve. Extremely unlikely to feature.
199,7,False,Suyash Sharma,RCB,Bowler,Indian,10,4,14,452.0,32.3,15.5,5.2,76.7,0.0,28.1,24.2,41.2,73.5,15.8,38.9,117.0,3.0,25.0,30.0,True,Leg-spinner; impact sub option; useful on turning tracks; likely plays 3-5 matches
200,7,False,Akash Deep,KKR,Bowler,Indian,10,4,6,145.0,24.2,11.5,5.0,56.0,2.0,22.2,24.2,46.1,78.2,11.6,38.2,115.0,3.0,0.0,0.0,True,Ruled out of IPL 2026 due to injury; replaced by Saurabh Dubey
201,7,False,Raghu Sharma,MI,WK-Batter,Indian,7,0,15,878.0,58.5,35.0,13.8,152.0,52.5,0.0,39.6,0.0,47.6,24.5,33.7,101.0,3.0,3.0,5.0,True,Indian WK. Deep reserve. Extremely unlikely to feature.
202,7,True,Rahul Tripathi,KKR,Batter,Indian,4,0,5,113.0,22.6,24.0,8.8,37.0,17.0,0.0,50.3,0.0,58.3,-8.1,18.5,56.0,3.0,15.0,25.0,True,Indian middle-order bat; squad depth option; unlikely to start unless injuries/form issues
